"sku";"post_parent";"product_type";"variations";"pa_color";"pa_size";"regular_price";"sale_price";"post_title";"post_content";"post_excerpt";"category";"tags";"post_status";"visibility";"manage_stock";"stock_status";"backorders";"stock";"weight";"length";"width";"height";"tax_status";"tax_class";"featured";"featured_image";"product_gallery";"shipping_class";"comment_status";"ping_status";"menu_order"
14241;;"variation_master";"color|size";"Красный";"85e|75d|75e|75f|80c|80d|80f";2606;1303;"Passion U Бюстгальтер";;"Бюстгальтер- балконет на косточках, с боковойподдержкой. Чашка сшивная на уплотнителе, полая. Внутренняя сторона проложена хлопковым трикотажем, наружная покрыта мягкой эластичной сеткой. Декорирована кружевом, вертикальные швы декорированы тканевыми полосками. Обеспечивает идеальную поддержку груди, как средней, так и большой полноты. Бретельрегулируются по длине, на спине застёжка на удлинителе, количество крючков в ряду застёжкиувеличивается пропорционально размеру бюстгальтера, от 1 до 3 крючков. Фурнитура металлическая в тон ткани.";"Alles->Коллекция 2015";;"publish";"visible";"yes";"instock";"yes";99;1;1;1;1;"none";;"yes";"http://www.simport.ru/upload/iblock/46c/a_b_passion_1.jpg";;"class1";"open";"open";1
"1424-красный";14241;"product_variation";;;;2606;1303;;;;;;;;;;;;;;;;;;;;;;;;
